# Filename : LM_Channel_0550_mean_prof.dat 
# 
# Description : Profiles of the mean velocity and pressure 
# 
# Total number of data points  : 192
# 
# 
# 
# 
# The data in this file was extracted from a direct numerical simulation 
# of fully developed plane turbulent channel flow. The file is available at 
# http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
# 
# When publishing results using this data, the following paper should be 
# cited as the source:  
# 
#    Myoungkyu Lee and Robert D. Moser,  
#    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
#    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
# 
# The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
# 
# NOTE: before publication, please check 
# http://turbulence.ices.utexas.edu for any updates to the data and an 
# updated citation 
# 
# 
# Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
# 
# 
# The parameters defining the simulation from which this data were extracted are: 
# 
#  Grid (streamwise)       nx = 1536 
#  Grid (wall-normal)      ny = 384 
#  Grid (spanwise)         nz = 1024 
#  Streamwise domain size  Lx = 8pi 
#  Spanwise domain size    Lz = 3pi 
#  B-Spline order           n = 7 
#  Kinematic Viscosity     nu = 1.00000e-04 
#  Channel half width   delta = 1.000 
#  Avg streamwise vel  U_mean = 1.000 
#  Friction vel         u_tau = 5.43496e-02 
#  Re_tau              Re_tau =  543.496 
# 
# 
# All data are normalized by u_tau and nu (signified with a ^+) except 
# for y/delta 
# 
# This file was last updated on 6/15/2015.
# 
# 
# 
# Remark: 
# 
#      y/delta : Grid point in wall-normal direction, Normalized by channel half width 
#      y^+     : Grid point in wall-normal direction 
#      U       : Mean profile of streamwise velocity 
#    dU/dy     : Derivative of U in wall-normal direction 
#      W       : Mean profile of spanwise velocity 
#      P       : Mean profile of pressure 
# 
# *   Estimated standard deviations of datasets in this file are in the file: LM_Channel_0550_mean_stdev.dat 
# 
# **  Data at y/delta = 1.0 is not computed due to code performance optimization 
# 
# *** W should be zero due to (statistical) symmetries in the flow. 
#     It is reported here none-the-less as an indicator of the quality of the statistics.  
# 
# -----------End of header--------- 
# 
#         y/delta                    y^+                       U                      dU/dy                      W                        P           
#-----------------------------------------------------------------------------------------------------------------------------------------------------
    4.479409657842548e-02    2.434541447420490e+01    1.277462930772488e+01    1.512520465505068e-01    5.892287203861068e-03   -5.902577670061987e-01
    4.728944531503487e-02    2.570162665149656e+01    1.297023989903908e+01    1.375525491293873e-01    5.874385473712837e-03   -6.274497467335977e-01
    4.985095100674408e-02    2.709379487244760e+01    1.315308623136350e+01    1.254243354940939e-01    5.858721031184328e-03   -6.635240395727245e-01
    5.247843578062394e-02    2.852182246382393e+01    1.332434149097297e+01    1.146869806936998e-01    5.851969061974232e-03   -6.983042823400244e-01
    5.517171718210678e-02    2.998561026228904e+01    1.348509083563308e+01    1.051787406050382e-01    5.856686258278150e-03   -7.316460927276899e-01
    5.793060818765683e-02    3.148505662129033e+01    1.363633312555643e+01    9.675493456352496e-02    5.870587474093058e-03   -7.634343797143027e-01
    6.075491721775639e-02    3.302005741811698e+01    1.377898303275764e+01    8.928590773303824e-02    5.888985153441805e-03   -7.935799989871569e-01
    6.364444815021009e-02    3.459050606113087e+01    1.391387400068404e+01    8.265674172344542e-02    5.907724188019428e-03   -8.220176161447944e-01
    6.659900033376298e-02    3.619629349716784e+01    1.404176460954343e+01    7.676770105581203e-02    5.923799360783109e-03   -8.487048846221030e-01
    6.961836860203485e-02    3.783730821911102e+01    1.416334650813212e+01    7.153221908817117e-02    5.935152223055604e-03   -8.736217950124713e-01
    7.270234328776626e-02    3.951343627363347e+01    1.427925059573510e+01    6.687417370210484e-02    5.941365427777429e-03   -8.967694043144944e-01
    7.585071023737844e-02    4.122456126911140e+01    1.439005111086759e+01    6.272559372502007e-02    5.943886179663239e-03   -9.181671970046067e-01
    7.906325082584409e-02    4.297056438370646e+01    1.449626796084732e+01    5.902518616536366e-02    5.945350381577477e-03   -9.378489691799653e-01
    8.233974197186933e-02    4.475132437361696e+01    1.459836868826518e+01    5.571769722850465e-02    5.948464825916476e-03   -9.558587295130945e-01
    8.567995615338375e-02    4.656671758149677e+01    1.469677077843670e+01    5.275372214440614e-02    5.956126641753338e-03   -9.722480950151200e-01
    8.908366142334079e-02    4.841661794504267e+01    1.479184498622878e+01    5.008967579747394e-02    5.971464352940486e-03   -9.870749775302816e-01
    9.255062142582338e-02    5.030089700574776e+01    1.488391994342339e+01    4.768830453942462e-02    5.996155145611862e-03   -1.000402634259155e+00
    9.608059541245717e-02    5.221942391782199e+01    1.497328936657433e+01    4.551924996381416e-02    6.029401195433184e-03   -1.012297848382039e+00
    9.967333825912839e-02    5.417206545727817e+01    1.506021891590443e+01    4.355676959236985e-02    6.065758728017911e-03   -1.022829334987593e+00
    1.033286004830050e-01    5.615868603118298e+01    1.514494883214421e+01    4.177755521539146e-02    6.092999730112489e-03   -1.032067016361674e+00
    1.070461282598614e-01    5.817914768707291e+01    1.522769463883271e+01    4.015990102116804e-02    6.097044165495042e-03   -1.040080957719485e+00
    1.108256634417039e-01    6.023331012253348e+01    1.530864545998388e+01    3.868196184955473e-02    6.070398830262802e-03   -1.046941611819810e+00
    1.146669435746969e-01    6.232103069494224e+01    1.538796100413842e+01    3.732286263241898e-02    6.014235327126159e-03   -1.052721103471072e+00
    1.185697019173878e-01    6.444216443137381e+01    1.546577487259536e+01    3.606666506240814e-02    5.932372053635884e-03   -1.057493896011634e+00
    1.225336674592297e-01    6.659656403866684e+01    1.554220436637038e+01    3.490304516657648e-02    5.827576275829814e-03   -1.061336192705526e+00
    1.265585649394005e-01    6.878407991365242e+01    1.561735660246065e+01    3.382286920260777e-02    5.705355383643675e-03   -1.064323430626019e+00
    1.306441148659178e-01    7.100456015354244e+01    1.569132672540586e+01    3.281654999677931e-02    5.576557521953049e-03   -1.066527191460233e+00
    1.347900335350460e-01    7.325785056647791e+01    1.576419831269417e+01    3.187633409594635e-02    5.454038987325175e-03   -1.068013039499045e+00
    1.389960330509979e-01    7.554379468223608e+01    1.583604602506102e+01    3.099561111590133e-02    5.344477177262540e-03   -1.068840058624934e+00
    1.432618213459259e-01    7.786223376309594e+01    1.590693749626031e+01    3.016966440427142e-02    5.244298629527390e-03   -1.069060409729417e+00
    1.475871022002033e-01    8.021300681486106e+01    1.597693719656396e+01    2.939482767202445e-02    5.146478292586533e-03   -1.068720189954836e+00
    1.519715752629947e-01    8.259595059803924e+01    1.604610391929240e+01    2.866531638911749e-02    5.048257665620624e-03   -1.067862200381295e+00
    1.564149360731114e-01    8.501089963917768e+01    1.611448687982268e+01    2.797559001391984e-02    4.953103887506311e-03   -1.066528543996520e+00
    1.609168760801550e-01    8.745768624235409e+01    1.618213000527689e+01    2.732343557479632e-02    4.871154524293978e-03   -1.064761245150367e+00
    1.654770826659420e-01    8.993614050082111e+01    1.624907831774310e+01    2.670816930322184e-02    4.814646061565363e-03   -1.062600678238328e+00
    1.700952391662127e-01    9.244609030880510e+01    1.631537796195977e+01    2.612816141718538e-02    4.792873528981322e-03   -1.060082903819945e+00
    1.747710248926210e-01    9.498736137345711e+01    1.638107257643613e+01    2.558005772288194e-02    4.807055450145610e-03   -1.057239057999220e+00
    1.795041151550028e-01    9.755977722695611e+01    1.644619808657130e+01    2.505871014160667e-02    4.847810149069723e-03   -1.054095187481882e+00
    1.842941812839227e-01    1.001631592387629e+02    1.651077933004111e+01    2.455887898174845e-02    4.898408187202470e-03   -1.050674398731086e+00
    1.891408906534976e-01    1.027973266280242e+02    1.657483266654696e+01    2.407775093245709e-02    4.942693480311675e-03   -1.047000025721752e+00
    1.940439067044936e-01    1.054620964761266e+02    1.663837087811209e+01    2.361317876153302e-02    4.974035553118710e-03   -1.043094854698574e+00
    1.990028889676979e-01    1.081572837393985e+02    1.670140041863494e+01    2.316146526620192e-02    4.991858305100570e-03   -1.038978583746086e+00
    2.040174930875607e-01    1.108827012619591e+02    1.676392086936944e+01    2.272071452905083e-02    4.993175704870922e-03   -1.034668921295619e+00
    2.090873708461073e-01    1.136381597887155e+02    1.682593146654726e+01    2.229135125043203e-02    4.969119488968152e-03   -1.030183663583052e+00
    2.142121701871195e-01    1.164234679785042e+02    1.688743604596859e+01    2.187538643612199e-02    4.908596225103156e-03   -1.025539489456051e+00
    2.193915352405814e-01    1.192384324173779e+02    1.694844499129739e+01    2.147378620021864e-02    4.805312459301089e-03   -1.020748007257975e+00
    2.246251063473925e-01    1.220828576320368e+02    1.700896976477574e+01    2.108599697871225e-02    4.659068906788101e-03   -1.015814974200046e+00
    2.299125200843422e-01    1.249565461034021e+02    1.706902368601557e+01    2.071283533635522e-02    4.470537249146866e-03   -1.010742947382071e+00
    2.352534092893457e-01    1.278592982803316e+02    1.712862298476178e+01    2.035397947756721e-02    4.239233458858863e-03   -1.005532652531041e+00
    2.406474030869410e-01    1.307909125934775e+02    1.718778131527734e+01    2.000733242671789e-02    3.965050682838332e-03   -1.000181946026295e+00
    2.460941269140419e-01    1.337511854692823e+02    1.724650794729679e+01    1.967146097217233e-02    3.651095639196824e-03   -9.946903980849119e-01
    2.515932025459485e-01    1.367399113441167e+02    1.730481074496470e+01    1.934581143977871e-02    3.303376766492077e-03   -9.890664357424911e-01
    2.571442481226113e-01    1.397568826785524e+02    1.736269540275076e+01    1.902863073063033e-02    2.924527025898167e-03   -9.833249958793689e-01
    2.627468781751475e-01    1.428018899717752e+02    1.742016423512089e+01    1.871969065887312e-02    2.514822528406023e-03   -9.774794087479727e-01
    2.684007036526089e-01    1.458747217761320e+02    1.747722507655981e+01    1.842172119050004e-02    2.077232307871078e-03   -9.715361064622549e-01
    2.741053319489973e-01    1.489751647118144e+02    1.753389407585514e+01    1.813615235939423e-02    1.617995255875438e-03   -9.654952670959073e-01
    2.798603669305277e-01    1.521030034816756e+02    1.759018865033396e+01    1.786175794564876e-02    1.144699570269996e-03   -9.593550975779300e-01
    2.856654089631360e-01    1.552580208861810e+02    1.764612179346186e+01    1.759673093332369e-02    6.643259037452019e-04   -9.531168967517537e-01
    2.915200549402298e-01    1.584399978384907e+02    1.770170358203734e+01    1.734041814882562e-02    1.841032199815794e-04   -9.467844434823111e-01
    2.974238983106809e-01    1.616487133796732e+02    1.775694266530586e+01    1.709166593117873e-02   -2.881335444028367e-04   -9.403595450699613e-01
    3.033765291070559e-01    1.648839446940483e+02    1.781184306929111e+01    1.684858980769859e-02   -7.377011617955686e-04   -9.338419002522753e-01
    3.093775339740852e-01    1.681454671246606e+02    1.786640487241842e+01    1.661045454907704e-02   -1.146605461371968e-03   -9.272350283578599e-01
    3.154264961973662e-01    1.714330541888790e+02    1.792062870294115e+01    1.637778818835403e-02   -1.506806919338350e-03   -9.205490467641040e-01
    3.215229957323006e-01    1.747464775941244e+02    1.797451603517307e+01    1.614979522732611e-02   -1.820819884999499e-03   -9.137950465274531e-01
    3.276666092332626e-01    1.780855072537220e+02    1.802806405429278e+01    1.592499458941128e-02   -2.087777449231393e-03   -9.069791754524655e-01
    3.338569100829963e-01    1.814499113028791e+02    1.808126798091929e+01    1.570341013709336e-02   -2.300720655606031e-03   -9.001054005603830e-01
    3.400934684222403e-01    1.848394561147859e+02    1.813412519137360e+01    1.548620764976125e-02   -2.459408809120892e-03   -8.931777083595199e-01
    3.463758511795775e-01    1.882539063168385e+02    1.818664197301747e+01    1.527729200318191e-02   -2.570624316931858e-03   -8.861980028924378e-01
    3.527036221015079e-01    1.916930248069838e+02    1.823883811038197e+01    1.507887388266475e-02   -2.648224104719015e-03   -8.791645274348584e-01
    3.590763417827421e-01    1.951565727701834e+02    1.829073062815094e+01    1.488685201735102e-02   -2.710408282589080e-03   -8.720757150307399e-01
    3.654935676967147e-01    1.986443096949977e+02    1.834231906149288e+01    1.469610991845973e-02   -2.772414160741723e-03   -8.649342014684824e-01
    3.719548542263129e-01    2.021559933902869e+02    1.839359188512940e+01    1.450545291698570e-02   -2.846955315939229e-03   -8.577442669999200e-01
    3.784597526948209e-01    2.056913800020290e+02    1.844453718012743e+01    1.431481840946439e-02   -2.944032191899769e-03   -8.505102402404072e-01
    3.850078113970762e-01    2.092502240302532e+02    1.849513854656388e+01    1.412180050965076e-02   -3.063276685754115e-03   -8.432393579035030e-01
    3.915985756308362e-01    2.128322783460876e+02    1.854537427529159e+01    1.392712344440312e-02   -3.191286035725275e-03   -8.359418762593737e-01
    3.982315877283539e-01    2.164372942089203e+02    1.859523602652308e+01    1.373672234279438e-02   -3.314375007078457e-03   -8.286287731913655e-01
    4.049063870881573e-01    2.200650212836714e+02    1.864473625550438e+01    1.355497111963076e-02   -3.427966225149836e-03   -8.213089540210310e-01
    4.116225102070353e-01    2.237152076581774e+02    1.869389597912457e+01    1.338193291242854e-02   -3.534456162442744e-03   -8.139846067244879e-01
    4.183794907122229e-01    2.273875998606835e+02    1.874273092174742e+01    1.321455386242457e-02   -3.640344957689047e-03   -8.066489190543122e-01
    4.251768593937867e-01    2.310819428774451e+02    1.879124435192646e+01    1.304948588751849e-02   -3.751758883834568e-03   -7.992918992428443e-01
    4.320141442372072e-01    2.347979801704361e+02    1.883943257852772e+01    1.288641694824029e-02   -3.872561597235558e-03   -7.919052055869584e-01
    4.388908704561558e-01    2.385354536951633e+02    1.888729545960512e+01    1.272675656452945e-02   -4.005321882977381e-03   -7.844812762036529e-01
    4.458065605254647e-01    2.422941039185849e+02    1.893483501408773e+01    1.256973913020690e-02   -4.149264799478952e-03   -7.770171709117196e-01
    4.527607342142861e-01    2.460736698371329e+02    1.898204828804602e+01    1.241408311679103e-02   -4.303442177952747e-03   -7.695185225332315e-01
    4.597529086194397e-01    2.498738889948373e+02    1.902893138309826e+01    1.226030961457598e-02   -4.464637870945923e-03   -7.619975069330933e-01
    4.667825981989466e-01    2.536944975015512e+02    1.907548246212026e+01    1.210851803442926e-02   -4.619888004518229e-03   -7.544686289204763e-01
    4.738493148057453e-01    2.575352300512757e+02    1.912169864213429e+01    1.195810966089897e-02   -4.757632655295780e-03   -7.469434274389819e-01
    4.809525677215887e-01    2.613958199405827e+02    1.916757378608403e+01    1.180771977418634e-02   -4.875888675183661e-03   -7.394257284534336e-01
    4.880918636911202e-01    2.652759990871352e+02    1.921309542019634e+01    1.165584597008664e-02   -4.974345498701613e-03   -7.319115498015241e-01
    4.952667069561264e-01    2.691754980483033e+02    1.925825055629439e+01    1.150404116618161e-02   -5.045703180331496e-03   -7.243954182479825e-01
    5.024765992899614e-01    2.730940460398738e+02    1.930303701365724e+01    1.135547354486261e-02   -5.073767945185988e-03   -7.168750340505642e-01
    5.097210400321457e-01    2.770313709548547e+02    1.934746092948825e+01    1.121068608504453e-02   -5.041419664697747e-03   -7.093528510842689e-01
    5.169995261231315e-01    2.809871993823696e+02    1.939152589034563e+01    1.106821638503590e-02   -4.942294640962932e-03   -7.018338452864268e-01
    5.243115521392352e-01    2.849612566266439e+02    1.943523123191933e+01    1.092754153237808e-02   -4.784520406990535e-03   -6.943197899351007e-01
    5.316566103277359e-01    2.889532667260802e+02    1.947857657155334e+01    1.078898239183479e-02   -4.580206909931604e-03   -6.868098729591254e-01
    5.390341906421325e-01    2.929629524724209e+02    1.952156276840764e+01    1.065263608417510e-02   -4.342652730544167e-03   -6.793051591686058e-01
    5.464437807775626e-01    2.969900354299977e+02    1.956418945774658e+01    1.051748704399365e-02   -4.089003573672313e-03   -6.718053928297392e-01
    5.538848662063773e-01    3.010342359550667e+02    1.960644911290172e+01    1.038107865692596e-02   -3.834610387514003e-03   -6.643080318855263e-01
    5.613569302138700e-01    3.050952732152269e+02    1.964832486908975e+01    1.024171088700449e-02   -3.589091445008776e-03   -6.568128949308133e-01
    5.688594539341580e-01    3.091728652089213e+02    1.968979864093934e+01    1.010064065513519e-02   -3.355456348650260e-03   -6.493242798796266e-01
    5.763919163862123e-01    3.132667287850197e+02    1.973086220447846e+01    9.960896940883542e-03   -3.132719283591908e-03   -6.418490007855814e-01
    5.839537945100358e-01    3.173765796624805e+02    1.977151697419899e+01    9.823616663504986e-03   -2.922064585763844e-03   -6.343937350704595e-01
    5.915445632029841e-01    3.215021324500916e+02    1.981176486649262e+01    9.688288535296581e-03   -2.729785318537731e-03   -6.269644047229173e-01
    5.991636953562294e-01    3.256431006662881e+02    1.985160645572267e+01    9.554689210400060e-03   -2.567604264766339e-03   -6.195682688901653e-01
    6.068106618913638e-01    3.297991967590462e+02    1.989104042425098e+01    9.421759547633753e-03   -2.443409881998467e-03   -6.122139400551175e-01
    6.144849317971377e-01    3.339701321258501e+02    1.993005748044042e+01    9.286736938430420e-03   -2.354788347759393e-03   -6.049096304939074e-01
    6.221859721663352e-01    3.381556171337339e+02    1.996863723477463e+01    9.147750952555754e-03   -2.294604348771049e-03   -5.976635449071144e-01
    6.299132482327785e-01    3.423553611393932e+02    2.000675926659657e+01    9.006769165215069e-03   -2.257840504529435e-03   -5.904835612309098e-01
    6.376662234084625e-01    3.465690725093676e+02    2.004441603683420e+01    8.867127591480018e-03   -2.246081878273506e-03   -5.833760100406584e-01
    6.454443593208165e-01    3.507964586402928e+02    2.008160871819625e+01    8.729112075890850e-03   -2.258293201760747e-03   -5.763464330813574e-01
    6.532471158500885e-01    3.550372259792177e+02    2.011833307465497e+01    8.590249950714213e-03   -2.282209288534329e-03   -5.693995164388831e-01
    6.610739511668524e-01    3.592910800439905e+02    2.015457344394334e+01    8.447973966818872e-03   -2.301112830036972e-03   -5.625386606442321e-01
    6.689243217696321e-01    3.635577254437068e+02    2.019030792205333e+01    8.302386597827983e-03   -2.307572151016653e-03   -5.557678885800963e-01
    6.767976825226434e-01    3.678368658992221e+02    2.022552189670852e+01    8.156101526344736e-03   -2.308147210386853e-03   -5.490921112532104e-01
    6.846934866936479e-01    3.721282042637253e+02    2.026020618022148e+01    8.008202190057509e-03   -2.311573265619706e-03   -5.425135165335155e-01
    6.926111859919195e-01    3.764314425433736e+02    2.029434240925682e+01    7.856671688394471e-03   -2.318618926193105e-03   -5.360294515861045e-01
    7.005502306063174e-01    3.807462819179847e+02    2.032791038874247e+01    7.702283496440756e-03   -2.322605049585349e-03   -5.296345809763795e-01
    7.085100692434654e-01    3.850724227617871e+02    2.036089238990139e+01    7.545042651034072e-03   -2.314846072743884e-03   -5.233263255655323e-01
    7.164901491660345e-01    3.894095646642269e+02    2.039327003317245e+01    7.385031244718083e-03   -2.288892212598985e-03   -5.171079430022775e-01
    7.244899162311251e-01    3.937574064508281e+02    2.042502680492932e+01    7.222697458107078e-03   -2.242738655659549e-03   -5.109859190456094e-01
    7.325088149287478e-01    3.981156462041064e+02    2.045614661679521e+01    7.057840779369041e-03   -2.181919707628612e-03   -5.049670598541519e-01
    7.405462884203970e-01    4.024839812845349e+02    2.048661241192115e+01    6.890149649345663e-03   -2.116024906683991e-03   -4.990595314004498e-01
    7.486017785777199e-01    4.068621083515592e+02    2.051640367422938e+01    6.718132196519552e-03   -2.053219805620985e-03   -4.932753008967300e-01
    7.566747260212722e-01    4.112497233846618e+02    2.054549144097054e+01    6.539853709568328e-03   -2.000610396522930e-03   -4.876297378704294e-01
    7.647645701593619e-01    4.156465217044737e+02    2.057384242435266e+01    6.355556938174797e-03   -1.962588541075347e-03   -4.821376927750414e-01
    7.728707492269781e-01    4.200521979939313e+02    2.060142952529792e+01    6.167579000947708e-03   -1.935645323127776e-03   -4.768100710793856e-01
    7.809927003247994e-01    4.244664463194778e+02    2.062823808337188e+01    5.978977162712322e-03   -1.912919032645679e-03   -4.716527725557473e-01
    7.891298594582827e-01    4.288889601523078e+02    2.065426490156706e+01    5.791348963276906e-03   -1.893719510345372e-03   -4.666675910926444e-01
    7.972816615768269e-01    4.333194323896527e+02    2.067950714238297e+01    5.603223793711789e-03   -1.884903715957029e-03   -4.618525511840634e-01
    8.054475406130110e-01    4.377575553761061e+02    2.070395194632081e+01    5.411949011326974e-03   -1.895127906772561e-03   -4.572033986893719e-01
    8.136269295219021e-01    4.422030209249878e+02    2.072757631845984e+01    5.215701784800944e-03   -1.929959205932133e-03   -4.527164517653839e-01
    8.218192603204307e-01    4.466555203397440e+02    2.075035124439500e+01    5.013456655706651e-03   -1.988502855018137e-03   -4.483905452478151e-01
    8.300239641268332e-01    4.511147444353843e+02    2.077224389459386e+01    4.804480296010195e-03   -2.060930603250957e-03   -4.442279496871944e-01
