# Filename : LM_Channel_0550_vel_fluc_prof.dat 
# 
# Description : Variance and covariance of velocity components 
# 
# Total number of data points  : 192
# 
# 
# 
# 
# The data in this file was extracted from a direct numerical simulation 
# of fully developed plane turbulent channel flow. The file is available at 
# http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
# 
# When publishing results using this data, the following paper should be 
# cited as the source:  
# 
#    Myoungkyu Lee and Robert D. Moser,  
#    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
#    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
# 
# The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
# 
# NOTE: before publication, please check 
# http://turbulence.ices.utexas.edu for any updates to the data and an 
# updated citation 
# 
# 
# Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
# 
# 
# The parameters defining the simulation from which this data were extracted are: 
# 
#  Grid (streamwise)       nx = 1536 
#  Grid (wall-normal)      ny = 384 
#  Grid (spanwise)         nz = 1024 
#  Streamwise domain size  Lx = 8pi 
#  Spanwise domain size    Lz = 3pi 
#  B-Spline order           n = 7 
#  Kinematic Viscosity     nu = 1.00000e-04 
#  Channel half width   delta = 1.000 
#  Avg streamwise vel  U_mean = 1.000 
#  Friction vel         u_tau = 5.43496e-02 
#  Re_tau              Re_tau =  543.496 
# 
# 
# All data are normalized by u_tau and nu (signified with a ^+) except 
# for y/delta 
# 
# This file was last updated on 6/15/2015.
# 
# 
# 
# Remark: 
# 
#      y/delta : Grid point in wall-normal direction, Normalized by channel half width 
#      y^+     : Grid point in wall-normal direction 
#      u'u'    : Variance of u 
#      v'v'    : Variance of v 
#      w'w'    : Variance of w 
#      u'v'    : Covariance of u and v 
#      u'w'    : Covariance of u and w 
#      v'w'    : Covariance of v and w 
#       k      : Turbulent kinetic energy, k = 0.5*(u'u' + v'v' + w'w')
# 
# *   Estimated standard deviations of datasets in this file are in the file: LM_Channel_0550_vel_fluc_stdev.dat 
# 
# **  Data at y/delta = 1.0 is not computed due to code performance optimization 
# 
# *** u'w' and v'w' should be zero due to (statistical) symmetries in the flow. 
#     These are reported here none-the-less as an indicator of the quality of the statistics.  
# 
# -----------End of header--------- 
# 
#         y/delta                    y^+                    u'u'                     v'v'                     w'w'                     u'v'                     u'w'                     v'w'                       k            
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    2.919302378816102e-02    1.586629306461805e+01    7.613725728238482e+00    3.199374144818348e-01    1.497542687291506e+00   -6.608735310917558e-01    8.383446419437965e-03   -4.652535800220978e-04    4.715602915005912e+00
    3.122068076795215e-02    1.696831662029134e+01    7.538301838141411e+00    3.574937565416155e-01    1.548087486369576e+00   -6.898720452139278e-01    8.276028638844246e-03   -4.659467837583388e-04    4.721941540526301e+00
    3.331561053023624e-02    1.810690266740270e+01    7.429185081472639e+00    3.959545136621634e-01    1.594322779589169e+00   -7.156174854942492e-01    8.102316149261856e-03   -4.603035736489696e-04    4.709731187361985e+00
    3.547766760147619e-02    1.928197214165958e+01    7.293458472334825e+00    4.349789038761142e-01    1.636213481877527e+00   -7.383323186875034e-01    7.879686856614799e-03   -4.485387506360508e-04    4.682325429044234e+00
    3.770670184676284e-02    2.049344344533214e+01    7.137475476441116e+00    4.742314973574322e-01    1.673809168102097e+00   -7.582648692870060e-01    7.624296787070959e-03   -4.306186876224749e-04    4.642758070950323e+00
    4.000255848024048e-02    2.174123245291950e+01    6.966816018605024e+00    5.133909230607197e-01    1.707236138765234e+00   -7.756698746432115e-01    7.354139473502796e-03   -4.066214751692424e-04    4.593721540215489e+00
    4.236507807585510e-02    2.302525251699132e+01    6.786284467735054e+00    5.521572378438079e-01    1.736682833618089e+00   -7.907959116687316e-01    7.090482299840946e-03   -3.772607184162352e-04    4.537562269598475e+00
    4.479409657842548e-02    2.434541447420490e+01    6.599938444523965e+00    5.902575061173922e-01    1.762381616857118e+00   -8.038780212217275e-01    6.853321301870140e-03   -3.439062502540007e-04    4.476288783749237e+00
    4.728944531503487e-02    2.570162665149656e+01    6.411140930391673e+00    6.274495467467543e-01    1.784590354762906e+00   -8.151334470211404e-01    6.654983819509510e-03   -3.080845385371243e-04    4.411590415950666e+00
    4.985095100674408e-02    2.709379487244760e+01    6.222626346993357e+00    6.635239083240053e-01    1.803575488414370e+00   -8.247590803469623e-01    6.496624860820738e-03   -2.714256363677120e-04    4.344862871865866e+00
    5.247843578062394e-02    2.852182246382393e+01    6.036567900682046e+00    6.983042207675305e-01    1.819597133742886e+00   -8.329303103565274e-01    6.373487124948488e-03   -2.361908309913248e-04    4.277234627596231e+00
    5.517171718210678e-02    2.998561026228904e+01    5.854653418879249e+00    7.316460914822871e-01    1.832897050899881e+00   -8.398024042869104e-01    6.286808537301508e-03   -2.053701954301796e-04    4.209598280630709e+00
    5.793060818765683e-02    3.148505662129033e+01    5.678173898953857e+00    7.634344221748065e-01    1.843695693762772e+00   -8.455137137127045e-01    6.243440840920413e-03   -1.808544080476642e-04    4.142652007445718e+00
    6.075491721775639e-02    3.302005741811698e+01    5.508101340833391e+00    7.935800686396882e-01    1.852197975446275e+00   -8.501895623323620e-01    6.243325058568002e-03   -1.616557844916819e-04    4.076939692459677e+00
    6.364444815021009e-02    3.459050606113087e+01    5.345122959690273e+00    8.220176990630679e-01    1.858598580942790e+00   -8.539437670493716e-01    6.272269326454093e-03   -1.451093178669176e-04    4.012869619848065e+00
    6.659900033376298e-02    3.619629349716784e+01    5.189654511694124e+00    8.487049651470315e-01    1.863078838426909e+00   -8.568766785501678e-01    6.306348493738063e-03   -1.288179965065178e-04    3.950719157634032e+00
    6.961836860203485e-02    3.783730821911102e+01    5.041879587291012e+00    8.736218560848945e-01    1.865800541518584e+00   -8.590759382206621e-01    6.324569399485783e-03   -1.106615221416721e-04    3.890650992447245e+00
    7.270234328776626e-02    3.951343627363347e+01    4.901794058934784e+00    8.967694348278440e-01    1.866896751028683e+00   -8.606192545075828e-01    6.310194577505823e-03   -8.844865184577701e-05    3.832730122395656e+00
    7.585071023737844e-02    4.122456126911140e+01    4.769283850320332e+00    9.181671940777560e-01    1.866480800738405e+00   -8.615764732586636e-01    6.250050340371895e-03   -6.005366611431528e-05    3.776965922568246e+00
    7.906325082584409e-02    4.297056438370646e+01    4.644204303979853e+00    9.378489333426718e-01    1.864670317603436e+00   -8.620105775370184e-01    6.144655861295139e-03   -2.447200964627950e-05    3.723361777462980e+00
    8.233974197186933e-02    4.475132437361696e+01    4.526381710980099e+00    9.558586607110187e-01    1.861585172453175e+00   -8.619779930056042e-01    6.010128791918925e-03    1.665990917311415e-05    3.671912772072147e+00
    8.567995615338375e-02    4.656671758149677e+01    4.415585704773003e+00    9.722479948152029e-01    1.857331135687178e+00   -8.615306521119727e-01    5.855273362975593e-03    6.148665754245979e-05    3.622582417637692e+00
    8.908366142334079e-02    4.841661794504267e+01    4.311544521470753e+00    9.870748512847087e-01    1.852000954477543e+00   -8.607184337227824e-01    5.677599335808828e-03    1.081557148808457e-04    3.575310163616503e+00
    9.255062142582338e-02    5.030089700574776e+01    4.213970039056941e+00    1.000402486564951e+00    1.845687766845621e+00   -8.595892290717571e-01    5.480070629790639e-03    1.537886025583003e-04    3.530030146233756e+00
    9.608059541245717e-02    5.221942391782199e+01    4.122555716096119e+00    1.012297681619895e+00    1.838480868539847e+00   -8.581846393957984e-01    5.276052648360291e-03    1.945880608273775e-04    3.486667133127931e+00
    9.967333825912839e-02    5.417206545727817e+01    4.036964588680765e+00    1.022829151043075e+00    1.830461428932898e+00   -8.565354595826654e-01    5.094621490513685e-03    2.251188665124088e-04    3.445127584328369e+00
    1.033286004830050e-01    5.615868603118298e+01    3.956821985903964e+00    1.032066817019486e+00    1.821715883429693e+00   -8.546599521110111e-01    4.976468219240587e-03    2.381985386255133e-04    3.405302343176572e+00
    1.070461282598614e-01    5.817914768707291e+01    3.881729803262272e+00    1.040080751902220e+00    1.812335311162714e+00   -8.525659757409859e-01    4.959352455367202e-03    2.281976099120194e-04    3.367072933163604e+00
    1.108256634417039e-01    6.023331012253348e+01    3.811289166530349e+00    1.046941412994167e+00    1.802400220416051e+00   -8.502586184801959e-01    5.064756185357544e-03    1.952125500100287e-04    3.330315399970284e+00
    1.146669435746969e-01    6.232103069494224e+01    3.745122125318400e+00    1.052720915493747e+00    1.791960313021586e+00   -8.477494821172149e-01    5.292194732699500e-03    1.444114563180326e-04    3.294901676916867e+00
    1.185697019173878e-01    6.444216443137381e+01    3.682881656303207e+00    1.057493707194068e+00    1.781052010625111e+00   -8.450575922839428e-01    5.617733116969888e-03    8.193467123583221e-05    3.260713687061192e+00
    1.225336674592297e-01    6.659656403866684e+01    3.624253544999351e+00    1.061335974685759e+00    1.769712892426572e+00   -8.422033341713688e-01    5.998103170108854e-03    1.683954605375188e-05    3.227651206055842e+00
    1.265585649394005e-01    6.878407991365242e+01    3.568938651172623e+00    1.064323146111253e+00    1.757992594583788e+00   -8.392041800251747e-01    6.383357568569259e-03   -3.976526829391329e-05    3.195627195933831e+00
    1.306441148659178e-01    7.100456015354244e+01    3.516645928390542e+00    1.066526804611361e+00    1.745942897027571e+00   -8.360761668594267e-01    6.725467073270339e-03   -7.855333291937168e-05    3.164557815014737e+00
    1.347900335350460e-01    7.325785056647791e+01    3.467100513314920e+00    1.068012519703304e+00    1.733606861988261e+00   -8.328290995116004e-01    7.002433548411579e-03   -9.334130139420376e-05    3.134359947503242e+00
    1.389960330509979e-01    7.554379468223608e+01    3.420070172142907e+00    1.068839403182825e+00    1.721027482103684e+00   -8.294668031819207e-01    7.247467345665771e-03   -8.655435008632968e-05    3.104968528714708e+00
    1.432618213459259e-01    7.786223376309594e+01    3.375370147223984e+00    1.069059654604800e+00    1.708262607181418e+00   -8.259894631100630e-01    7.519132469810546e-03   -7.193803921590339e-05    3.076346204505101e+00
    1.475871022002033e-01    8.021300681486106e+01    3.332829890999438e+00    1.068719380009344e+00    1.695363484445738e+00   -8.223966217401111e-01    7.846309769636286e-03   -6.621542550894372e-05    3.048456377727260e+00
    1.519715752629947e-01    8.259595059803924e+01    3.292277595602224e+00    1.067861371984482e+00    1.682368573504895e+00   -8.186949356259240e-01    8.204417616499284e-03   -7.795487255629496e-05    3.021253770545801e+00
    1.564149360731114e-01    8.501089963917768e+01    3.253518078231994e+00    1.066527731821159e+00    1.669324196030751e+00   -8.148930281955762e-01    8.548216081721556e-03   -1.038606483970374e-04    2.994685003041952e+00
    1.609168760801550e-01    8.745768624235409e+01    3.216361762660289e+00    1.064760488155863e+00    1.656259900610464e+00   -8.109976570066367e-01    8.831990546621734e-03   -1.317856011207953e-04    2.968691075713308e+00
    1.654770826659420e-01    8.993614050082111e+01    3.180669388465669e+00    1.062600006867929e+00    1.643160137051811e+00   -8.070164475352979e-01    9.024709176312257e-03   -1.520218918079968e-04    2.943214766192705e+00
    1.700952391662127e-01    9.244609030880510e+01    3.146341640354657e+00    1.060082320359707e+00    1.630006781750261e+00   -8.029603771925247e-01    9.112795521342544e-03   -1.597131426698672e-04    2.918215371232312e+00
    1.747710248926210e-01    9.498736137345711e+01    3.113265973577796e+00    1.057238541873224e+00    1.616802115276783e+00   -7.988377436732127e-01    9.090098053348006e-03   -1.541205795122395e-04    2.893653315363901e+00
    1.795041151550028e-01    9.755977722695611e+01    3.081313416472485e+00    1.054094715292442e+00    1.603549813464530e+00   -7.946523146094889e-01    8.949111924889629e-03   -1.386079593178675e-04    2.869478972614728e+00
    1.842941812839227e-01    1.001631592387629e+02    3.050364496980826e+00    1.050673967966701e+00    1.590244875731499e+00   -7.904025523058229e-01    8.689208566955290e-03   -1.190658855318420e-04    2.845641670339513e+00
    1.891408906534976e-01    1.027973266280242e+02    3.020304774867291e+00    1.046999654993713e+00    1.576896409205407e+00   -7.860807564991751e-01    8.334648184810564e-03   -9.790997900912502e-05    2.822100419533206e+00
    1.940439067044936e-01    1.054620964761266e+02    2.991034974524590e+00    1.043094569703370e+00    1.563542011200119e+00   -7.816772536371563e-01    7.929333225673222e-03   -7.383692308382497e-05    2.798835777714039e+00
    1.990028889676979e-01    1.081572837393985e+02    2.962487233952366e+00    1.038978399549002e+00    1.550234579005017e+00   -7.771930099607781e-01    7.509315793648831e-03   -4.674495587834941e-05    2.775850106253193e+00
    2.040174930875607e-01    1.108827012619591e+02    2.934591372280287e+00    1.034668832755292e+00    1.536991471334675e+00   -7.726354918271792e-01    7.130174833020781e-03   -2.208240648314227e-05    2.753125838185127e+00
    2.090873708461073e-01    1.136381597887155e+02    2.907272425417300e+00    1.030183661835105e+00    1.523795752536969e+00   -7.680105366160691e-01    6.850914654540928e-03   -7.073580660202338e-06    2.730625919894687e+00
    2.142121701871195e-01    1.164234679785042e+02    2.880470163256025e+00    1.025539567107836e+00    1.510666134965741e+00   -7.633195216984475e-01    6.677725100238560e-03   -2.549003795726734e-07    2.708337932664801e+00
    2.193915352405814e-01    1.192384324173779e+02    2.854142400367286e+00    1.020748152759120e+00    1.497655206296282e+00   -7.585618524032295e-01    6.583037131101803e-03    8.900684616526094e-06    2.686272879711344e+00
    2.246251063473925e-01    1.220828576320368e+02    2.828234728285691e+00    1.015815177730309e+00    1.484781932494517e+00   -7.537383927313690e-01    6.537679869834762e-03    2.900423913437525e-05    2.664415919255259e+00
    2.299125200843422e-01    1.249565461034021e+02    2.802659182662973e+00    1.010743209382080e+00    1.472029872813039e+00   -7.488436452519067e-01    6.523723150982575e-03    5.840521380281980e-05    2.642716132429046e+00
    2.352534092893457e-01    1.278592982803316e+02    2.777332787323471e+00    1.005532972139548e+00    1.459384991138653e+00   -7.438690982079357e-01    6.541521375047062e-03    9.007806053579435e-05    2.621125375300836e+00
    2.406474030869410e-01    1.307909125934775e+02    2.752209906540092e+00    1.000182313925741e+00    1.446851305060380e+00   -7.388105932070141e-01    6.592077249727386e-03    1.156366455039392e-04    2.599621762763106e+00
    2.460941269140419e-01    1.337511854692823e+02    2.727262193075600e+00    9.946907938759334e-01    1.434411670447284e+00   -7.336724011699808e-01    6.662038674651155e-03    1.276325710716655e-04    2.578182328699409e+00
    2.515932025459485e-01    1.367399113441167e+02    2.702425404486406e+00    9.890668297733504e-01    1.422009933445502e+00   -7.284651681338987e-01    6.736176357202015e-03    1.203362321196368e-04    2.556751083852629e+00
    2.571442481226113e-01    1.397568826785524e+02    2.677605280985126e+00    9.833253607815938e-01    1.409606708922579e+00   -7.232010566535467e-01    6.795991661320372e-03    8.664552293485282e-05    2.535268675344649e+00
    2.627468781751475e-01    1.428018899717752e+02    2.652746237172014e+00    9.774797345416009e-01    1.397206685602722e+00   -7.178850791950275e-01    6.828008775671689e-03    2.787686247814456e-05    2.513716328658168e+00
    2.684007036526089e-01    1.458747217761320e+02    2.627845405883311e+00    9.715363975722942e-01    1.384840264473725e+00   -7.125101914633392e-01    6.827522131500291e-03   -4.138163502940600e-05    2.492111033964665e+00
    2.741053319489973e-01    1.489751647118144e+02    2.602953640113419e+00    9.654955310037537e-01    1.372538292547118e+00   -7.070680111137075e-01    6.790996168137218e-03   -1.064065734461207e-04    2.470493731832145e+00
    2.798603669305277e-01    1.521030034816756e+02    2.578166826739960e+00    9.593553457411369e-01    1.360308982880266e+00   -7.015568353535232e-01    6.717624026193827e-03   -1.632251203594835e-04    2.448915577680681e+00
    2.856654089631360e-01    1.552580208861810e+02    2.553569518868672e+00    9.531171458580755e-01    1.348132146229396e+00   -6.959809116631314e-01    6.601867935435928e-03   -2.110077016645842e-04    2.427409405478072e+00
    2.915200549402298e-01    1.584399978384907e+02    2.529182427339701e+00    9.467847038547600e-01    1.335992078725363e+00   -6.903408782386055e-01    6.438667378606559e-03   -2.437054702755628e-04    2.405979604959912e+00
    2.974238983106809e-01    1.616487133796732e+02    2.504984981550226e+00    9.403598194720429e-01    1.323885532137673e+00   -6.846347617817840e-01    6.228993535782015e-03   -2.573418098689792e-04    2.384615166579971e+00
    3.033765291070559e-01    1.648839446940483e+02    2.480935239257422e+00    9.338422054631197e-01    1.311802574144408e+00   -6.788641631092229e-01    5.977029407512079e-03   -2.487859791060372e-04    2.363290009432475e+00
    3.093775339740852e-01    1.681454671246606e+02    2.456946338159984e+00    9.272353767190807e-01    1.299745763890294e+00   -6.730367552670412e-01    5.692401850052040e-03   -2.173702272918506e-04    2.341963739384679e+00
    3.154264961973662e-01    1.714330541888790e+02    2.432920214978951e+00    9.205494388090060e-01    1.287755578237177e+00   -6.671639019497153e-01    5.380156752470631e-03   -1.644331343107109e-04    2.320612616012567e+00
    3.215229957323006e-01    1.747464775941244e+02    2.408808971241711e+00    9.137954817274176e-01    1.275850800236296e+00   -6.612522522405264e-01    5.052272862328979e-03   -9.430492810281414e-05    2.299227626602713e+00
    3.276666092332626e-01    1.780855072537220e+02    2.384639303133453e+00    9.069796413862315e-01    1.264008646067129e+00   -6.553030696287785e-01    4.714178594319400e-03   -6.216390872519342e-06    2.277813795293406e+00
    3.338569100829963e-01    1.814499113028791e+02    2.360464152651029e+00    9.001058751230016e-01    1.252208771907583e+00   -6.493131517623678e-01    4.369449022994882e-03    1.033982395324875e-04    2.256389399840807e+00
    3.400934684222403e-01    1.848394561147859e+02    2.336316166501766e+00    8.931781851492145e-01    1.240432681347685e+00   -6.432815528617666e-01    4.030737319513742e-03    2.331604120305985e-04    2.234963516499333e+00
    3.463758511795775e-01    1.882539063168385e+02    2.312186677806389e+00    8.861984954788676e-01    1.228659234191327e+00   -6.372020344682898e-01    3.717633418080967e-03    3.752334911116885e-04    2.213522203738291e+00
    3.527036221015079e-01    1.916930248069838e+02    2.288067423773132e+00    8.791650551930360e-01    1.216888085536381e+00   -6.310590829633157e-01    3.445619442213099e-03    5.113836429684502e-04    2.192060282251274e+00
    3.590763417827421e-01    1.951565727701834e+02    2.263994344903263e+00    8.720762816919810e-01    1.205116563118833e+00   -6.248427292193565e-01    3.223880367024374e-03    6.252959328448919e-04    2.170593594857038e+00
    3.654935676967147e-01    1.986443096949977e+02    2.239989164879320e+00    8.649347906409762e-01    1.193315953960537e+00   -6.185551602222346e-01    3.077521287350532e-03    7.109508111226834e-04    2.149119954740416e+00
    3.719548542263129e-01    2.021559933902869e+02    2.216046403034461e+00    8.577448624264635e-01    1.181463620408683e+00   -6.122029162610101e-01    3.044361595611124e-03    7.683627856774979e-04    2.127627442934803e+00
    3.784597526948209e-01    2.056913800020290e+02    2.192169916865747e+00    8.505108351803777e-01    1.169575745519818e+00   -6.057918588233265e-01    3.117870684838711e-03    7.961742288475652e-04    2.106128248782971e+00
    3.850078113970762e-01    2.092502240302532e+02    2.168335097123904e+00    8.432399453127074e-01    1.157655559869395e+00   -5.993376920889061e-01    3.221529563948158e-03    7.987934169054866e-04    2.084615301153003e+00
